respondent_id,shifts_with_experienced_peer_first10,distinct_colleagues_contacted_30d,orientation_modules_completed_pct,days_to_first_solo_task,assist_queries_30d,assist_share_policy_lookup_pct,assist_queries_escalated_to_human
R001,0,8,91,21,0,,0
R002,5,9,100,13,0,,0
R003,8,15,100,2,19,60,0
R004,1,5,88,14,3,85,0
R005,2,9,82,17,0,,0
R006,6,16,100,8,0,,0
R007,5,15,99,12,29,78,0
R008,1,5,96,15,26,64,0
R009,0,15,99,16,19,69,0
R010,6,12,95,12,35,75,0
R011,5,10,99,11,0,,0
R012,2,14,97,13,0,,0
R013,1,16,95,14,16,70,0
R015,2,6,97,13,22,74,0
R016,8,11,86,9,20,90,0
R017,1,6,100,7,21,75,0
R018,1,6,90,11,0,,0
R019,5,10,97,21,0,,0
R020,0,20,100,21,0,,0
R021,2,10,100,25,20,86,0
R022,3,5,85,25,20,82,0
R023,6,7,91,2,10,72,0
R024,7,16,99,14,0,,0
R025,7,16,90,11,0,,0
R026,8,15,100,12,0,,0
R027,5,28,93,13,15,83,0
R028,3,5,91,17,0,,0
R029,6,11,90,13,0,,0
R030,5,18,100,14,0,,0
R031,7,13,100,12,0,,0
R032,5,15,100,16,0,,0
R033,7,14,90,7,0,,0
R034,3,1,100,20,0,,0
R036,7,13,93,17,0,,0
R037,2,3,95,19,18,68,0
R038,6,10,100,9,0,,0
R039,3,3,96,23,0,,0
R041,1,9,98,20,42,75,0
R042,3,22,100,20,15,77,0
R043,2,9,99,18,0,,0
R044,2,20,96,14,32,76,0
R045,0,7,100,16,40,71,0
R046,5,13,100,15,0,,0
R047,8,12,84,10,0,,0
R048,9,7,100,18,0,,0
R050,5,10,98,12,0,,0
R051,3,24,100,16,16,58,0
R052,3,6,87,24,31,75,1
R053,0,9,97,23,0,,0
R054,5,16,98,5,0,,0
R055,1,4,90,8,0,,0
R056,1,4,100,17,19,74,0
R057,6,14,100,10,0,,0
R058,6,16,100,9,12,73,1
R059,8,19,97,9,19,73,0
R060,6,18,92,12,0,,0
R061,6,17,99,8,7,70,0
R062,8,11,93,10,0,,0
R063,8,14,100,5,0,,0
R064,0,8,93,23,0,,0
R065,3,5,100,15,0,,0
R068,7,10,100,10,0,,0
R069,6,12,94,10,8,69,0
R070,5,17,93,13,0,,0
R072,8,7,98,14,0,,0
R073,7,27,98,7,0,,0
R074,8,7,98,8,0,,0
R075,3,3,90,19,27,85,0
R076,1,10,96,22,32,75,0
R077,1,8,99,15,0,,0
R078,5,25,85,9,23,85,0
R079,8,11,100,9,24,87,0
R081,3,10,89,19,25,68,0
R082,5,11,98,9,0,,0
R083,7,15,93,12,20,71,0
R084,1,1,100,24,20,68,0
R085,0,10,81,17,0,,0
R086,1,9,95,16,21,75,1
R087,9,8,97,15,0,,0
R088,6,6,91,13,0,,0
R089,5,9,92,14,0,,0
R090,2,16,95,11,0,,0
R091,2,3,87,16,29,76,0
R092,3,20,100,21,0,,0
R093,0,5,87,10,0,,0
R095,0,4,100,21,19,88,0
R096,2,10,93,17,22,60,0
R097,9,12,100,8,0,,0
R099,2,1,93,18,0,,0
R100,0,9,96,24,0,,0
R101,8,13,98,9,0,,0
R102,2,20,91,16,17,79,0
R103,6,16,100,10,19,92,0
R104,3,10,94,18,0,,0
R106,0,8,87,22,23,76,0
R107,8,14,100,16,0,,0
R109,2,2,98,15,8,60,0
R110,5,16,100,18,0,,0
R111,5,15,92,5,0,,0
R112,0,5,100,16,28,71,0
R113,3,7,95,9,36,80,0
R114,3,2,94,17,21,81,0
R115,9,12,100,11,0,,0
R116,3,12,90,12,0,,0
R117,1,10,100,16,0,,0
R119,8,9,100,7,21,88,0
R120,1,6,96,28,0,,0
R121,1,11,92,21,0,,0
R122,6,12,98,5,25,76,0
R123,5,17,96,12,0,,0
R124,2,6,96,16,0,,0
R125,7,19,94,7,0,,0
R126,8,10,95,10,0,,0
R127,2,8,95,20,0,,0
R128,7,10,100,9,22,83,0
R129,0,11,90,15,0,,0
R130,9,14,100,14,0,,0
R131,6,14,95,10,0,,0
R132,1,8,95,21,0,,0
R133,5,15,97,9,0,,0
R134,9,10,96,11,0,,0
R136,3,21,86,14,14,57,0
R137,1,28,98,19,17,59,0
R138,9,10,98,10,15,49,0
R139,0,10,92,22,0,,0
R140,0,17,85,6,0,,0
R141,5,5,95,8,0,,0
R142,6,17,100,13,0,,0
R144,0,9,97,18,41,78,0
R146,1,9,98,25,0,,0
R148,7,11,87,11,0,,0
